seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
0,go2_001,5068760000000,1776851882074128731,1776851882088346817,29994335749419,1776846813314.129,14.218,,0.669468,-1.062132,0.000000,-1.559277,-0.026320,0.005212,0.000000,0.000000,0.000000,-1.308500
1,go2_001,5068820000000,1776851882137138636,1776851882138264717,29994385667041,1776846813317.139,1.126,49.918,0.669649,-1.059660,0.000000,-1.594467,-0.028484,0.005242,0.000000,0.000000,0.000000,-0.513947
2,go2_001,5068860000000,1776851882179159035,1776851882187992580,29994435394944,1776846813319.159,8.834,49.728,0.665671,-1.054607,0.000000,-1.608601,-0.038782,-0.003790,0.000000,0.000000,0.000000,-0.376222
3,go2_001,5068900000000,1776851882220098331,1776851882238052008,29994485454885,1776846813320.098,17.954,50.059,0.664693,-1.052532,0.000000,-1.625421,-0.040317,-0.005905,0.000000,0.000000,0.000000,-0.458997
4,go2_001,5068960000000,1776851882272935832,1776851882288307831,29994535710443,1776846813312.936,15.372,50.256,0.664983,-1.052561,0.000000,-1.647133,-0.034901,-0.005338,0.000000,0.000000,0.000000,-0.251695
5,go2_001,5069020000000,1776851882337515522,1776851882338241044,29994585643519,1776846813317.516,0.726,49.933,0.664583,-1.050183,0.000000,-1.627877,-0.035580,-0.006139,0.000000,0.000000,0.000000,0.260192
6,go2_001,5069055000000,1776851882378731443,1776851882388059334,29994635461898,1776846813323.731,9.328,49.818,0.664761,-1.049212,0.000000,-1.630501,-0.035057,-0.005543,0.000000,0.000000,0.000000,-0.082700
7,go2_001,5069100000000,1776851882420337841,1776851882437960941,29994685363432,1776846813320.338,17.623,49.902,0.663444,-1.049206,0.000000,-1.649381,-0.031353,-0.008559,0.000000,0.000000,0.000000,-0.373822
8,go2_001,5069155000000,1776851882482283718,1776851882487977850,29994735380270,1776846813327.284,5.694,50.017,0.663602,-1.049401,0.000000,-1.694581,-0.026937,-0.007627,0.000000,0.000000,0.000000,-0.835739
9,go2_001,5069215000000,1776851882524638689,1776851882537961624,29994785364151,1776846813309.639,13.323,49.984,0.663743,-1.049433,0.000000,-1.734522,-0.023043,-0.006823,0.000000,0.000000,0.000000,-0.936684
10,go2_001,5069255000000,1776851882576008581,1776851882587959497,29994835362527,1776846813321.009,11.951,49.998,0.664222,-1.048410,0.000000,-1.787622,-0.023189,-0.005492,0.000000,0.000000,0.000000,-1.187830
11,go2_001,5069295000000,1776851882620136374,1776851882637981481,29994885384350,1776846813325.136,17.845,50.022,0.664546,-1.046408,0.000000,-1.833794,-0.025674,-0.005198,0.000000,0.000000,0.000000,-0.741394
12,go2_001,5069355000000,1776851882682875683,1776851882688079663,29994935482205,1776846813327.875,5.204,50.098,0.665163,-1.045380,0.000000,-1.857962,-0.024385,-0.003918,0.000000,0.000000,0.000000,-0.372099
13,go2_001,5069415000000,1776851882725953205,1776851882738010714,29994985413597,1776846813310.953,12.058,49.931,0.665126,-1.044866,0.000000,-1.868681,-0.021985,-0.004206,0.000000,0.000000,0.000000,-0.290382
14,go2_001,5069450000000,1776851882766610818,1776851882788082285,29995035485037,1776846813316.611,21.471,50.072,0.665213,-1.045012,0.000000,-1.876740,-0.019744,-0.003895,0.000000,0.000000,0.000000,-0.270902
15,go2_001,5069510000000,1776851882831501384,1776851882838004629,29995085407137,1776846813321.501,6.503,49.922,0.667317,-1.040038,0.000000,-1.887665,-0.029299,-0.001613,0.000000,0.000000,0.000000,-0.175653
16,go2_001,5069570000000,1776851882885639385,1776851882887854488,29995135256907,1776846813315.639,2.215,49.850,0.666895,-1.035578,0.000000,-1.883010,-0.035004,-0.005028,0.000000,0.000000,0.000000,-0.061465
17,go2_001,5069610000000,1776851882927030996,1776851882938841537,29995186244353,1776846813317.031,11.811,50.987,0.673567,-1.033517,0.000000,-1.902887,-0.040483,0.009131,0.000000,0.000000,0.000000,-0.381764
18,go2_001,5069650000000,1776851882970826103,1776851882988064452,29995235467424,1776846813320.826,17.238,49.223,0.673624,-1.033644,0.000000,-1.931880,-0.036736,0.008370,0.000000,0.000000,0.000000,-0.659923
19,go2_001,5069705000000,1776851883032661107,1776851883038272368,29995285674907,1776846813327.661,5.611,50.208,0.673626,-1.033965,0.000000,-1.976628,-0.031679,0.007329,0.000000,0.000000,0.000000,-0.768921
20,go2_001,5069765000000,1776851883086957769,1776851883087904993,29995335307626,1776846813321.958,0.947,49.633,0.674973,-1.029015,0.000000,-2.044180,-0.039395,0.005272,0.000000,0.000000,0.000000,-1.071361
21,go2_001,5069805000000,1776851883127518056,1776851883137992128,29995385394682,1776846813322.518,10.474,50.087,0.676250,-1.027967,0.000000,-2.067032,-0.039349,0.006340,0.000000,0.000000,0.000000,-0.738623
22,go2_001,5069845000000,1776851883169679966,1776851883187979474,29995435382075,1776846813324.680,18.300,49.987,0.678083,-1.029263,0.000000,-2.083770,-0.034601,0.010605,0.000000,0.000000,0.000000,-0.403441
