seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
0,go2_001,1435785000000,1776178058166635362,,0.112199,-0.167234,1.040149,59.596149,-0.000003,-0.021117
1,go2_001,1435845000000,1776178058216564230,49.929,0.112199,-0.167234,1.040725,59.629178,-0.000003,-0.002206
2,go2_001,1435885000000,1776178058266564820,50.001,0.112199,-0.167234,1.040913,59.639925,-0.000003,0.001345
3,go2_001,1435945000000,1776178058316578752,50.014,0.112199,-0.167234,1.040623,59.623294,-0.000002,-0.019657
4,go2_001,1436005000000,1776178058366537334,49.959,0.112199,-0.167234,1.040616,59.622904,-0.000002,-0.007830
5,go2_001,1436045000000,1776178058416557092,50.020,0.112199,-0.167234,1.040483,59.615281,-0.000002,-0.003237
6,go2_001,1436085000000,1776178058466571636,50.015,0.112199,-0.167234,1.040469,59.614497,-0.000002,-0.007176
7,go2_001,1436145000000,1776178058516595014,50.023,0.112200,-0.167234,1.040776,59.632066,-0.000001,-0.006720
8,go2_001,1436185000000,1776178058566568439,49.973,0.112200,-0.167234,1.040768,59.631598,-0.000001,-0.009880
9,go2_001,1436245000000,1776178058616690505,50.122,0.112200,-0.167234,1.040503,59.616421,-0.000001,-0.013388
10,go2_001,1436305000000,1776178058666543651,49.853,0.112200,-0.167234,1.040365,59.608505,-0.000001,-0.017186
11,go2_001,1436345000000,1776178058716566112,50.022,0.112200,-0.167234,1.041017,59.645872,-0.000001,0.003594
12,go2_001,1436385000000,1776178058766583292,50.017,0.112200,-0.167234,1.041583,59.678331,-0.000001,0.011659
13,go2_001,1436445000000,1776178058816594793,50.012,0.112200,-0.167234,1.041528,59.675146,-0.000001,0.000606
14,go2_001,1436485000000,1776178058866581675,49.987,0.112200,-0.167234,1.041023,59.646225,-0.000000,-0.011008
15,go2_001,1436545000000,1776178058916501901,49.920,0.112200,-0.167234,1.040367,59.608651,-0.000000,-0.015267
16,go2_001,1436605000000,1776178058966534799,50.033,0.112200,-0.167234,1.040506,59.616627,-0.000000,-0.004692
17,go2_001,1436645000000,1776178059016574237,50.039,0.112200,-0.167234,1.040486,59.615480,-0.000000,0.000751
18,go2_001,1436685000000,1776178059066650781,50.077,0.112200,-0.167234,1.040633,59.623850,-0.000000,-0.003782
19,go2_001,1436745000000,1776178059116576507,49.926,0.112200,-0.167234,1.041520,59.674679,-0.000000,0.015901
20,go2_001,1436785000000,1776178059166564225,49.988,0.112200,-0.167234,1.041642,59.681713,-0.000000,0.006525
21,go2_001,1436845000000,1776178059216579186,50.015,0.112200,-0.167234,1.040652,59.624983,0.000000,-0.013211
22,go2_001,1436885000000,1776178059266567226,49.988,0.112200,-0.167234,1.040369,59.608778,0.000000,-0.009982
23,go2_001,1436945000000,1776178059316575133,50.008,0.112200,-0.167234,1.040527,59.617790,0.000000,0.008276
24,go2_001,1437005000000,1776178059366447177,49.872,0.112200,-0.167234,1.040602,59.622116,0.000000,0.003664
