seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
0,go2,303865000000,1776176923927354119,,0.022855,-0.305546,2.433078,139.405104,0.000000,-0.009301
1,go2,303945000000,1776176924027434628,100.081,0.022855,-0.305546,2.432606,139.378032,0.000000,-0.032188
2,go2,304045000000,1776176924127445741,100.011,0.022855,-0.305546,2.433344,139.420324,0.000000,-0.000487
3,go2,304165000000,1776176924227381701,99.936,0.022855,-0.305546,2.433401,139.423593,0.000000,-0.001092
4,go2,304245000000,1776176924327430291,100.049,0.022855,-0.305546,2.433774,139.445007,0.000000,0.007130
5,go2,304345000000,1776176924427462315,100.032,0.022855,-0.305546,2.432795,139.388898,0.000000,-0.035784
6,go2,304465000000,1776176924527396099,99.934,0.022855,-0.305546,2.433135,139.408395,0.000000,0.002029
7,go2,304565000000,1776176924627274317,99.878,0.022855,-0.305546,2.433498,139.429159,0.000000,0.010902
8,go2,304645000000,1776176924727491257,100.217,0.022855,-0.305546,2.433755,139.443883,0.000000,0.006201
9,go2,304745000000,1776176924827424490,99.933,0.022855,-0.305546,2.433247,139.414800,0.000000,-0.014184
10,go2,304865000000,1776176924927402056,99.978,0.022855,-0.305546,2.433225,139.413546,0.000000,0.002243
11,go2,304945000000,1776176925027454800,100.053,0.022855,-0.305546,2.432672,139.381810,0.000000,-0.021014
12,go2,305045000000,1776176925127453881,99.999,0.022855,-0.305546,2.433265,139.415816,0.000000,-0.002718
13,go2,305165000000,1776176925227421335,99.967,0.022855,-0.305546,2.433899,139.452123,0.000000,0.008381
14,go2,305265000000,1776176925327312872,99.892,0.022855,-0.305546,2.433134,139.408316,0.000000,-0.008195
15,go2,305345000000,1776176925427454314,100.141,0.022855,-0.305546,2.433209,139.412611,0.000000,0.001275
16,go2,305445000000,1776176925527487678,100.033,0.022855,-0.305546,2.433385,139.422708,0.000000,0.010933
17,go2,305565000000,1776176925627381423,99.894,0.022855,-0.305546,2.433328,139.419402,0.000000,0.000806
18,go2,305645000000,1776176925727466428,100.085,0.022855,-0.305546,2.433515,139.430117,0.000000,0.003698
19,go2,305745000000,1776176925827454947,99.989,0.022855,-0.305546,2.433304,139.418025,0.000000,-0.012290
20,go2,305845000000,1776176925927456006,100.001,0.022855,-0.305546,2.433107,139.406791,0.000000,0.002203
21,go2,305965000000,1776176926027322943,99.867,0.022855,-0.305546,2.433448,139.426304,0.000000,0.000945
22,go2,306045000000,1776176926127423062,100.100,0.022855,-0.305546,2.433276,139.416434,0.000000,0.002628
23,go2,306140000000,1776176926227417121,99.994,0.022855,-0.305546,2.432985,139.399798,0.000000,-0.025070
24,go2,306245000000,1776176926327434534,100.017,0.022855,-0.305546,2.433516,139.430185,0.000000,-0.002584
25,go2,306345000000,1776176926427454570,100.020,0.022855,-0.305546,2.433231,139.413846,0.000000,0.000948
26,go2,306445000000,1776176926527456990,100.002,0.022855,-0.305546,2.433213,139.412832,0.000000,0.004797
27,go2,306545000000,1776176926627477009,100.020,0.022855,-0.305546,2.433026,139.402128,0.000000,-0.005755
28,go2,306665000000,1776176926727312970,99.836,0.022855,-0.305546,2.433759,139.444141,0.000000,0.002592
29,go2,306745000000,1776176926827597513,100.285,0.022855,-0.305546,2.432646,139.380366,0.000000,-0.032774
30,go2,306845000000,1776176926927427663,99.830,0.022855,-0.305546,2.434282,139.474108,0.000000,0.026033
31,go2,306940000000,1776176927027451568,100.024,0.022855,-0.305546,2.432343,139.362987,0.000000,-0.034728
32,go2,307040000000,1776176927127435813,99.984,0.022855,-0.305546,2.432750,139.386316,0.000000,-0.004561
33,go2,307140000000,1776176927227485625,100.050,0.022855,-0.305546,2.432794,139.388814,0.000000,-0.016448
34,go2,307240000000,1776176927327489946,100.004,0.022855,-0.305546,2.433934,139.454146,0.000000,0.017020
